Quality;Description
(0, '-', 0, '-', 0);['PaulPogba==1', 'DaviddeGeaQuintana==1', 'PhilJones==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'DaviddeGeaQuintana==1', 'AshleyYoung==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'DaviddeGeaQuintana==1', 'JesseLingard==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'DaviddeGeaQuintana==1', 'RomeluLukakuMenama==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'DaviddeGeaQuintana==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'LuisAntonioValenciaMosquera==1', 'RomeluLukakuMenama==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'LuisAntonioValenciaMosquera==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'AnthonyMartial==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'AshleyYoung==1', 'RomeluLukakuMenama==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'AshleyYoung==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'JesseLingard==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'RomeluLukakuMenama==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['GarethBarry==1', 'BenFoster==1', 'AhmedHegazy==1']
(0, '-', 0, '-', 0);['GarethBarry==1', 'BenFoster==1', 'JonnyEvans==1']
(0, '-', 0, '-', 0);['GarethBarry==1', 'BenFoster==1', 'KieranGibbs==1']
(0, '-', 0, '-', 0);['GarethBarry==1', 'AhmedHegazy==1', 'JayRodriguez==1']
(0, '-', 0, '-', 0);['GarethBarry==1', 'AhmedHegazy==1', 'JonnyEvans==1']
(0, '-', 0, '-', 0);['GarethBarry==1', 'AhmedHegazy==1', 'KieranGibbs==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AhmedHegazy==1', 'ChrisBrunt==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AhmedHegazy==1', 'JakeLivermore==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AhmedHegazy==1', 'AllanRomeoNyom==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AhmedHegazy==1', 'GrzegorzKrychowiak==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AhmedHegazy==1', 'CraigDawson==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AhmedHegazy==1', 'JayRodriguez==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AhmedHegazy==1', 'JoséSalomónRondónGiménez==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AhmedHegazy==1', 'JonnyEvans==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AhmedHegazy==1', 'MattPhillips==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AhmedHegazy==1', 'KieranGibbs==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JakeLivermore==1', 'AllanRomeoNyom==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JakeLivermore==1', 'CraigDawson==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JakeLivermore==1', 'JayRodriguez==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JakeLivermore==1', 'JoséSalomónRondónGiménez==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JakeLivermore==1', 'JonnyEvans==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JakeLivermore==1', 'KieranGibbs==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AllanRomeoNyom==1', 'JayRodriguez==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AllanRomeoNyom==1', 'JoséSalomónRondónGiménez==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'AllanRomeoNyom==1', 'KieranGibbs==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'CraigDawson==1', 'JayRodriguez==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'CraigDawson==1', 'JoséSalomónRondónGiménez==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'CraigDawson==1', 'KieranGibbs==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JayRodriguez==1', 'JoséSalomónRondónGiménez==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JayRodriguez==1', 'JonnyEvans==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JayRodriguez==1', 'KieranGibbs==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JoséSalomónRondónGiménez==1', 'JonnyEvans==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JoséSalomónRondónGiménez==1', 'KieranGibbs==1']
(0, '-', 0, '-', 0);['BenFoster==1', 'JonnyEvans==1', 'KieranGibbs==1']
