Quality;Description
(0.2306407615654401, 'URB', 0.6338028169014085, 'UB', 0.4031620553359684);['deck_ShimmerdriftVale_1', 'deck_Mistwalker_1', 'deck_TuskeriFirewalker_0']
(0.23045381674682452, 'UBWG', 0.6650943396226415, 'UBW', 0.434640522875817);['deck_DraugrRecruiter_1', 'deck_StarnheimCourser_0', 'deck_TheThreeSeasons_0']
(0.23045381674682452, 'UBWG', 0.6650943396226415, 'UBW', 0.434640522875817);['deck_DraugrRecruiter_1', 'deck_TheThreeSeasons_0', 'deck_StarnheimCourser_0']
(0.23045381674682452, 'UBWG', 0.6650943396226415, 'UBW', 0.434640522875817);['deck_TheThreeSeasons_0', 'deck_DraugrRecruiter_1', 'deck_StarnheimCourser_0']
(0.23027734976887515, 'UBWG', 0.6711864406779661, 'UBW', 0.4409090909090909);['deck_VolatileFjord_1', 'deck_BorealOutrider_0', 'deck_MoritteoftheFrost_0']
(0.23027734976887515, 'UBWG', 0.6711864406779661, 'UBW', 0.4409090909090909);['deck_BorealOutrider_0', 'deck_VolatileFjord_1', 'deck_MoritteoftheFrost_0']
(0.23027734976887515, 'UBWG', 0.6711864406779661, 'UBW', 0.4409090909090909);['deck_VolatileFjord_1', 'deck_MoritteoftheFrost_0', 'deck_BorealOutrider_0']
(0.23023431375395603, 'UBWG', 0.6510263929618768, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_FrostpyreArcanist_0', 'deck_BindingtheOldGods_0']
(0.23023431375395603, 'UBWG', 0.6510263929618768, 'UBW', 0.4207920792079208);['deck_FrostpyreArcanist_0', 'deck_VolatileFjord_1', 'deck_BindingtheOldGods_0']
(0.23023431375395603, 'UBWG', 0.6510263929618768, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_BindingtheOldGods_0', 'deck_FrostpyreArcanist_0']
