Quality;Description
(0.5398692810457516, '3-4-2-1', 0.08888888888888889, '4-2-3-1', -0.45098039215686275);['JoeAllen==1', 'MameBiramDiouf==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1', 'JoeAllen==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'KurtHappyZouma==1', 'JoeAllen==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['KurtHappyZouma==1', 'MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1', 'KurtHappyZouma==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'JoeAllen==1', 'KurtHappyZouma==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JoeAllen==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['JoeAllen==1', 'MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'KurtHappyZouma==1', 'JoeAllen==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['KurtHappyZouma==1', 'MameBiramDiouf==1', 'JoeAllen==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JoeAllen==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['JoeAllen==1', 'MameBiramDiouf==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1', 'JackButland==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'KurtHappyZouma==1', 'JackButland==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['KurtHappyZouma==1', 'MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'KurtHappyZouma==1', 'JackButland==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['KurtHappyZouma==1', 'MameBiramDiouf==1', 'JackButland==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JackButland==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['JackButland==1', 'MameBiramDiouf==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1', 'KurtHappyZouma==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'JackButland==1', 'KurtHappyZouma==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JackButland==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['JackButland==1', 'MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1', 'JoeAllen==1']
(0.5388235294117647, '3-4-2-1', 0.058823529411764705, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1', 'JackButland==1', 'KurtHappyZouma==1']
